,token,CompLex_complexity,WCL_complexity,SemEval2016_complexity,BEA2018_News_binaryComplexity,BEA2018_News_probabilisticComplexity,BEA2018_WikiNews_binaryComplexity,BEA2018_WikiNews_probabilisticComplexity,BEA2018_Wikipedia_binaryComplexity,BEA2018_Wikipedia_probabilisticComplexity
0,seventh day,0.0277777777777777,,,,,,,,
1,own work,0.0499999999999999,,,,,,,,
2,loving kindness,0.0499999999999999,,,,,,,,
3,loving kindness,0.0499999999999999,,,,,,,,
4,loving kindness,0.075,,,,,,,,
5,loving kindness,0.1833333333333333,,,,,,,,
6,loving kindness,0.2333333333333333,,,,,,,,
7,many sons,0.0499999999999999,,,,,,,,
8,many people,0.0499999999999999,,,,,,,,
9,own cities,0.0555555555555555,,,,,,,,
10,next day,0.075,,,,,,,,
11,first month,0.075,,,,,,,,
12,next generation,0.075,,,,,,,,
13,large tablet,0.075,,,,,,,,
14,surrounding country,0.0833333333333333,,,,,,,,
15,Sarah laugh,0.0999999999999999,,,,,,,,
16,striped cloths,0.0999999999999999,,,,,,,,
17,few days,0.1111111111111111,,,,,,,,
18,stringed instruments,0.1111111111111111,,,,,,,,
19,stringed instruments,0.1833333333333333,,,,,,,,
20,stringed instruments,0.25,,,,,,,,
21,stringed instruments,0.2666666666666667,,,,,,,,
22,first day,0.1166666666666666,,,,,,,,
23,skillful works,0.125,,,,,,,,
24,wild goats,0.125,,,,,,,,
25,wild goats,0.2205882352941176,,,,,,,,
26,injured foot,0.1333333333333333,,,,,,,,
27,flaming torches,0.1388888888888889,,,,,,,,
28,own country,0.1428571428571428,,,,,,,,
29,dry grass,0.15,,,,,,,,
30,male goats,0.15,,,,,,,,
31,male goats,0.2249999999999999,,,,,,,,
32,deep pit,0.15,,,,,,,,
33,eternal salvation,0.15,,,,,,,,
34,skillful workman,0.15,,,,,,,,
35,skillful workman,0.2166666666666666,,,,,,,,
36,skillful workman,0.2777777777777778,,,,,,,,
37,skillful workman,0.2857142857142857,,,,,,,,
38,skillful workman,0.3214285714285714,,,,,,,,
39,precious stones,0.15,,,,,,,,
40,sour grapes,0.15,,,,,,,,
41,sour grapes,0.2142857142857143,,,,,,,,
42,nursing infant,0.15,,,,,,,,
43,outward appearance,0.15,,,,,,,,
44,male lambs,0.1617647058823529,,,,,,,,
45,high places,0.1624999999999999,,,,,,,,
46,male goat,0.1666666666666666,,,,,,,,
47,many generations,0.1666666666666666,,,,,,,,
48,middle part,0.1666666666666666,,,,,,,,
49,fierce anger,0.1666666666666666,,,,,,,,
50,fierce anger,0.1923076923076923,,,,,,,,
51,fierce anger,0.2631578947368421,,,,,,,,
52,fierce anger,0.4431818181818182,,,,,,,,
53,notable miracle,0.175,,,,,,,,
54,servant Moses,0.175,,,,,,,,
55,servant Moses,0.25,,,,,,,,
56,foreign gods,0.175,,,,,,,,
57,mighty kings,0.1833333333333333,,,,,,,,
58,mighty gods,0.1842105263157895,,,,,,,,
59,own lips,0.1911764705882352,,,,,,,,
60,meal offering,0.1923076923076923,,,,,,,,
61,meal offering,0.2916666666666666,,,,,,,,
62,meal offering,0.3611111111111111,,,,,,,,
63,garden house,0.1944444444444444,,,,,,,,
64,holy mountain,0.1944444444444444,,,,,,,,
65,holy mountain,0.25,,,,,,,,
66,wicked ruler,0.1964285714285714,,,,,,,,
67,grape gatherer,0.2,,,,,,,,
68,flaming torch,0.2,,,,,,,,
69,flaming torch,0.3,,,,,,,,
70,precious life,0.2,,,,,,,,
71,eastern region,0.2,,,,,,,,
72,sexual immorality,0.2,,,,,,,,
73,sexual immorality,0.25,,,,,,,,
74,sexual immorality,0.2894736842105263,,,,,,,,
75,sexual immorality,0.3249999999999999,,,,,,,,
76,sexual immorality,0.3333333333333333,,,,,,,,
77,slippery places,0.2,,,,,,,,
78,other god,0.2,,,,,,,,
79,right hand,0.2023809523809523,,,,,,,,
80,right hand,0.2916666666666666,,,,,,,,
81,right hand,0.3970588235294118,,,,,,,,
82,great wonders,0.2083333333333333,,,,,,,,
83,noisy battle,0.2105263157894736,,,,,,,,
84,honorable man,0.2105263157894736,,,,,,,,
85,many friends,0.2105263157894736,,,,,,,,
86,cheek bone,0.2115384615384615,,,,,,,,
87,silver bowl,0.2125,,,,,,,,
88,pleasant aroma,0.2125,,,,,,,,
89,pleasant aroma,0.2249999999999999,,,,,,,,
90,pleasant aroma,0.2321428571428571,,,,,,,,
91,evil generation,0.2222222222222222,,,,,,,,
92,fruitful fields,0.2222222222222222,,,,,,,,
93,wicked messenger,0.2236842105263157,,,,,,,,
94,young man,0.2236842105263157,,,,,,,,
95,evil doings,0.2236842105263157,,,,,,,,
96,joyful shout,0.2236842105263157,,,,,,,,
97,commanding officer,0.2249999999999999,,,,,,,,
98,little children,0.2249999999999999,,,,,,,,
99,burnt offering,0.2249999999999999,,,,,,,,
100,burnt offering,0.3611111111111111,,,,,,,,
101,burnt offering,0.3888888888888888,,,,,,,,
102,burnt offering,0.4027777777777778,,,,,,,,
103,burnt offering,0.4305555555555556,,,,,,,,
104,righteous judgments,0.2249999999999999,,,,,,,,
105,gracious God,0.2321428571428571,,,,,,,,
106,new wine,0.2321428571428571,,,,,,,,
107,new wine,0.409090909090909,,,,,,,,
108,second day,0.2333333333333333,,,,,,,,
109,third ruler,0.2333333333333333,,,,,,,,
